中央卫视,#genre#
文化精品,http://tonyk.56301232.xyz:3477/rtp/239.37.0.83:5540
风云剧场,http://tonyk.56301232.xyz:3477/rtp/239.37.0.114:5540
央视台球,http://tonyk.56301232.xyz:3477/rtp/239.37.0.163:5540
高尔夫网球,http://tonyk.56301232.xyz:3477/rtp/239.37.0.230:5540
卫生健康,http://tonyk.56301232.xyz:3477/rtp/239.37.0.229:5540
地方卫视,#genre#
北京卫视4K,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229453/128124469.smil
广东卫视4K,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229456/131699760.smil
深圳卫视4K,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229455/131699790.smil
浙江卫视4K,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229473/136086103.smil
东方卫视4K,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229460/136083232.smil
湖南卫视4K,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229464/136083240.smil
江苏卫视4K,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229468/136083267.smil
四川卫视4K,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229470/136083195.smil
山东卫视4K,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229467/136083251.smil
浙江卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228012/10000100000000060000000000794032_0.smil
深圳卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221227988/10000100000000060000000000794038_0.smil
广东卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228011/10000100000000060000000000794034_0.smil
湖南卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221227983/10000100000000060000000000794037_0.smil
天津卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228016/10000100000000060000000000794035_0.smil
山东卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221227978/10000100000000060000000000794036_0.smil
江苏卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228067/10000100000000060000000001063212_0.smil
北京卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228080/10000100000000060000000001063209_0.smil
纪实科教,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229419/110036300.smil
四川卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229046/10000100000000060000000004835838_0.smil
河北卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229050/10000100000000060000000004836297_0.smil
辽宁卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229042/10000100000000060000000004835836_0.smil
贵州卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229044/10000100000000060000000004835835_0.smil
重庆卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229061/10000100000000060000000004835834_0.smil
