酒儿公告,#genre#
CCTV4,http://115.204.248.218:8888/rtp/233.50.200.101:5140$『线路12』
CCTV4,http://115.206.115.148:4022/rtp/233.50.200.101:5140$『线路13』
CCTV4,http://115.224.205.125:8888/rtp/233.50.200.101:5140$『线路14』
CCTV4,http://115.60.241.249:2000/rtp/225.1.5.30:1333$『线路15』
CCTV4,http://114.97.197.61:4022/rtp/238.1.78.236:7760$『线路16』
CCTV4,http://60.188.194.72:8888/rtp/233.50.200.101:5140$『线路17』
CCTV4,http://58.32.42.132:4022/rtp/239.45.0.2:5140$『线路18』
CCTV4,http://49.71.65.134:8800/rtp/239.49.8.51:9806$『线路19』
CCTV4,http://49.74.204.146:8888/rtp/239.49.8.51:9806$『线路20』
CCTV4,http://36.6.151.177:8888/rtp/238.1.78.236:7760$『线路21』
CCTV5,http://www.baopiqi.top:4022/udp/239.45.1.69:5140$『线路1』
CCTV5,http://222.184.193.235:55555/rtp/239.49.8.75:8000$『线路2』
CCTV5,http://222.212.166.172:8888/rtp/239.93.1.36:8004$『线路3』
CCTV5,http://218.1.139.206:8888/rtp/239.45.1.69:5140$『线路4』
CCTV5,http://171.213.128.34:4022/rtp/239.93.1.36:8004$『线路5』
CCTV5,http://171.88.144.241:4022/rtp/239.93.1.36:8004$『线路6』
CCTV5,http://125.116.52.226:4022/rtp/233.50.201.197:5140$『线路7』
CCTV5,http://121.237.247.189:8888/rtp/239.49.8.75:8000$『线路8』
CCTV5,http://116.226.123.242:4022/rtp/239.45.1.69:5140$『线路9』
CCTV5,http://115.195.17.233:8888/rtp/233.50.201.197:5140$『线路10』
CCTV5,http://115.198.129.134:8000/rtp/233.50.201.197:5140$『线路11』
CCTV5,http://115.204.248.218:8888/rtp/233.50.201.197:5140$『线路12』
CCTV5,http://115.206.115.148:4022/rtp/233.50.201.197:5140$『线路13』
CCTV5,http://115.224.205.125:8888/rtp/233.50.201.197:5140$『线路14』
CCTV5,http://115.60.241.249:2000/rtp/225.1.4.159:1195$『线路15』
CCTV5,http://114.97.197.61:4022/rtp/238.1.78.171:7240$『线路16』
CCTV5,http://60.188.194.72:8888/rtp/233.50.201.197:5140$『线路17』
CCTV5,http://58.32.42.132:4022/rtp/239.45.1.69:5140$『线路18』
CCTV5,http://49.71.65.134:8800/rtp/239.49.8.75:8000$『线路19』
CCTV5,http://49.74.204.146:8888/rtp/239.49.8.75:8000$『线路20』
CCTV5,http://36.6.151.177:8888/rtp/238.1.78.171:7240$『线路21』
CCTV5+,http://www.baopiqi.top:4022/udp/239.45.0.34:5140$『线路1』
CCTV5+,http://222.184.193.235:55555/rtp/239.49.8.18:9610$『线路2』
CCTV5+,http://218.1.139.206:8888/rtp/239.45.0.34:5140$『线路3』
CCTV5+,http://125.116.52.226:4022/rtp/233.50.201.220:5140$『线路4』
CCTV5+,http://121.237.247.189:8888/rtp/239.49.8.18:9610$『线路5』
CCTV5+,http://116.226.123.242:4022/rtp/239.45.0.34:5140$『线路6』
CCTV5+,http://115.195.17.233:8888/rtp/233.50.201.220:5140$『线路7』
CCTV5+,http://115.198.129.134:8000/rtp/233.50.201.220:5140$『线路8』
CCTV5+,http://115.204.248.218:8888/rtp/233.50.201.220:5140$『线路9』
CCTV5+,http://115.206.115.148:4022/rtp/233.50.201.220:5140$『线路10』
CCTV5+,http://115.224.205.125:8888/rtp/233.50.201.220:5140$『线路11』
CCTV5+,http://115.60.241.249:2000/rtp/225.1.4.75:1104$『线路12』
CCTV5+,http://114.97.197.61:4022/rtp/238.1.78.237:7768$『线路13』
CCTV5+,http://60.188.194.72:8888/rtp/233.50.201.220:5140$『线路14』
CCTV5+,http://58.32.42.132:4022/rtp/239.45.0.34:5140$『线路15』
